res_id,month,inflow_mean,release_mean,storage_mean,storage_pre_mean,release_pre_mean,net_inflow_mean,storage_roll7_mean,release_roll7_mean,inflow_roll7_mean,storage_x_inflow_mean,release_pre2_mean,inflow2_mean,sto_diff_mean,inflow_std,release_std,storage_std,storage_pre_std,release_pre_std,net_inflow_std,storage_roll7_std,release_roll7_std,inflow_roll7_std,storage_x_inflow_std,release_pre2_std,inflow2_std,sto_diff_std
505,9.0,166160.656,207910.65600000002,9414463.333333334,9456213.333333334,213105.6,166160.656,9575758.095238095,225334.36800000002,181637.67923809524,1758292161674.6667,68092457468.31359,59756625917.6704,-119544.76190476201,179596.15319598594,148232.61596368795,3121888.285993427,3113489.4845478754,150845.3128594294,179596.15319598594,3061831.8659787555,140235.6868511235,172619.44965070055,2008302693288.6267,73390437998.75883,76085870160.30429,337964.6787108837
505,10.0,67704.59870967742,122898.14709677419,7861567.741935484,7916761.29032258,123971.45806451613,67704.59870967742,8080789.400921659,128385.50267281107,72598.21935483871,624648076407.742,20830981884.79587,15768525693.952,-164028.1105990783,105928.32088782449,72393.52840743231,2739942.6139535545,2746143.7972420566,74025.23919595509,105928.32088782449,2763502.0412187967,75915.4647482316,108158.78138214025,992783087368.1335,19855212438.076084,31423081300.33928,273851.99529860175
505,11.0,185494.848,112534.848,7729886.666666667,7656926.666666667,112959.648,185494.848,7476308.095238096,113993.89714285714,171646.88533333334,1468918968176.0,19300177442.304,52853854876.450134,180618.57142857148,136041.195715413,80860.01316574369,2436984.7056024005,2440252.953324632,81007.21735478459,136041.195715413,2443853.667450344,77217.03896142985,129999.0156917686,1253443816497.5034,25188443509.57807,55189507843.90447,331530.7279841594
505,12.0,120675.03483870967,89339.55096774193,10101467.741935484,10070132.258064516,90033.53806451613,120675.03483870967,9945327.649769584,92514.65142857142,134766.13751152073,1192755937589.6775,11806293383.201033,30425359874.031483,124804.60829493083,126151.6233474698,60376.56405589009,2330998.767267233,2341022.4895047564,60928.075165541704,126151.6233474698,2360964.7395306136,59456.96583114523,115493.62162200401,1355051221508.4229,12930521041.161093,42203795735.66472,321009.06513386656
1843,1.0,1294439.621846117,1256001.485070834,28361553.6098765,28322689.09532965,1265599.6351774721,,28218234.67138044,1279602.6684406716,1315703.8575569647,39969212448763.086,3136723993859.8394,3125086714813.5933,143318.93849606026,1204501.295319213,1235262.8571783789,5434540.656703813,5524987.361511852,1239503.7010396468,,5647678.005896834,1125756.7285622228,1005777.1631544089,40985820133102.305,4598380543904.815,6256220241071.402,2356849.2571583414
1843,2.0,1088610.2678025367,753334.8110533666,33054186.58251506,32735006.51091591,765661.6657271336,,31903451.879342698,832544.894429999,1105950.400313024,39256792121912.9,1838910955962.3928,3206604031069.2197,1150734.703172365,1422505.3295066704,1121525.9603995495,5496533.279325268,5393271.607525841,1119779.4942002692,,4709258.666248854,1037971.9111168584,1079541.2453090914,59075301559163.57,4016603855423.81,16468076412457.357,2658757.9145633294
1843,3.0,1105851.2219229648,777057.9219257728,42992133.597921066,42658955.40404341,777575.0800145135,,41696653.23743897,798678.5198891942,1115639.7235754658,51460886911647.46,2116236414058.6057,3089597772437.9663,1295480.360482093,1366883.6955612206,1234801.5931908616,5946234.204055102,5942317.691778635,1230030.0797646937,,5871562.754704353,1125636.3551538899,1066280.748231256,70726232937098.08,5062009547994.7705,10130936918869.504,2495731.269282052
1843,4.0,949239.0548736844,736858.0155945838,52413644.302789345,52187663.257945634,727339.5102246536,,51435297.91609308,695106.3309917378,951766.7081161301,54162167294319.38,2015950441074.0662,3013961875906.998,978346.3866962545,1454276.9005160711,1238746.7696919804,6229013.760837107,6253943.490914561,1219977.520084361,,6211088.5657024775,1082527.0527840112,1115356.796972497,88351857398465.4,6377368953239.082,14085530287550.514,2116643.2753501595
1843,5.0,885530.4585338779,867144.2758957522,55250177.44495638,55239629.97520297,880714.5237371026,,55153552.125631675,899469.2164361322,925647.8973251887,53558662842609.95,3033592043901.2744,3469333288061.908,96625.31932469772,1639404.2174923841,1478947.8828640974,5520568.85210419,5568557.950913105,1503335.2708222575,,5532761.639817968,1315364.7096039732,1337410.3965588075,107478391349761.4,14773080614331.047,19765044899976.867,1658638.7488198066
1843,6.0,455770.2110070179,469073.0735928944,55283139.76259075,55292009.29002935,477090.68389429245,,55319639.36936173,509829.6276190922,503568.944785352,26829979563801.863,828128817438.8732,889489692424.4263,-36499.60677096952,826083.0009414438,762401.7076573108,3962000.3842034014,3993909.4755281466,775297.2071458517,,4068890.1084478498,789577.217817648,787465.7420921426,51159871734179.98,2775776079050.6016,4505739625646.349,1163714.6601037132
